,Survived,Pclass,Sex,Family_Survival,Age_Bin,Fare_Bin,Relatives,Title_Bin
50,0.0,3,1,0.0,0,3,5,0
51,0.0,3,1,0.5,1,0,0,2
52,1.0,1,0,1.0,3,4,1,3
53,1.0,2,0,0.5,1,3,1,3
54,0.0,1,1,0.5,4,4,1,2
55,1.0,1,1,0.5,1,3,0,2
56,1.0,2,0,0.5,1,1,0,1
57,0.0,3,1,0.5,1,0,0,2
58,1.0,2,0,1.0,0,3,3,1
59,0.0,3,1,0.0,0,4,7,0
60,0.0,3,1,0.5,1,0,0,2
61,1.0,1,0,1.0,2,4,0,1
62,0.0,1,1,1.0,3,4,1,2
63,0.0,3,1,0.0,0,3,5,0
64,0.0,1,1,0.5,1,3,0,2
65,1.0,3,1,1.0,1,2,2,0
66,1.0,2,0,0.5,1,1,0,3
67,0.0,3,1,0.5,1,1,0,2
68,1.0,3,0,0.5,1,1,6,1
69,0.0,3,1,0.5,1,1,2,2
70,0.0,2,1,0.5,2,1,0,2
71,0.0,3,0,0.0,1,4,7,1
72,0.0,2,1,0.0,1,4,0,2
73,0.0,3,1,0.5,1,2,1,2
74,1.0,3,1,1.0,2,4,0,2
75,0.0,3,1,0.5,1,0,0,2
76,0.0,3,1,0.5,1,1,0,2
77,0.0,3,1,0.5,1,1,0,2
78,1.0,2,1,1.0,0,3,2,0
79,1.0,3,0,1.0,2,2,0,1
80,0.0,3,1,0.5,1,1,0,2
81,1.0,3,1,0.5,1,1,0,2
82,1.0,3,0,0.5,1,0,0,1
83,0.0,1,1,0.5,1,4,0,2
84,1.0,2,0,0.5,1,1,0,1
85,1.0,3,0,0.0,2,2,3,3
86,0.0,3,1,0.0,1,3,4,2
87,0.0,3,1,0.5,1,1,0,2
88,1.0,1,0,1.0,1,4,5,1
89,0.0,3,1,0.5,1,1,0,2
90,0.0,3,1,0.5,1,1,0,2
91,0.0,3,1,0.5,1,0,0,2
92,0.0,1,1,0.5,3,4,1,2
93,0.0,3,1,1.0,1,2,3,2
94,0.0,3,1,0.5,3,0,0,2
95,0.0,3,1,0.5,1,1,0,2
96,0.0,1,1,0.5,4,3,0,2
97,1.0,1,1,0.5,1,4,1,2
98,1.0,2,0,1.0,2,3,1,3
99,0.0,2,1,1.0,2,3,1,2
100,0.0,3,0,0.5,1,1,0,1
101,0.0,3,1,0.0,1,1,0,2
102,0.0,1,1,0.0,1,4,1,2
103,0.0,3,1,0.5,2,1,0,2
104,0.0,3,1,0.0,2,1,2,2
105,0.0,3,1,0.5,1,1,0,2
106,1.0,3,0,0.5,1,0,0,1
107,1.0,3,1,0.5,1,0,0,2
108,0.0,3,1,0.5,2,1,0,2
109,1.0,3,0,0.0,1,3,1,1
110,0.0,1,1,0.0,3,4,0,2
111,0.0,3,0,0.0,0,2,1,1
112,0.0,3,1,0.5,1,1,0,2
113,0.0,3,0,0.0,1,1,1,1
114,0.0,3,0,0.0,1,2,0,1
115,0.0,3,1,0.5,1,1,0,2
116,0.0,3,1,0.5,4,0,0,2
117,0.0,2,1,0.0,1,2,1,2
118,0.0,1,1,1.0,1,4,1,2
119,0.0,3,0,0.0,0,3,6,1
120,0.0,2,1,0.0,1,4,2,2
121,0.0,3,1,0.5,1,1,0,2
122,0.0,2,1,1.0,2,3,1,2
123,1.0,2,0,0.5,2,2,0,1
124,0.0,1,1,0.0,3,4,1,2
125,1.0,3,1,1.0,0,2,1,0
126,0.0,3,1,0.5,1,0,0,2
127,1.0,3,1,0.5,1,0,0,2
128,1.0,3,0,1.0,1,3,2,1
129,0.0,3,1,0.5,3,0,0,2
130,0.0,3,1,0.5,2,1,0,2
131,0.0,3,1,0.5,1,0,0,2
132,0.0,3,0,0.5,3,2,1,3
133,1.0,2,0,0.5,1,3,1,3
134,0.0,2,1,0.5,1,2,0,2
135,0.0,2,1,0.5,1,2,0,2
136,1.0,1,0,0.5,1,3,2,1
137,0.0,1,1,1.0,2,4,1,2
138,0.0,3,1,0.0,1,1,0,2
139,0.0,1,1,0.0,1,4,0,2
140,0.0,3,0,0.0,1,2,2,3
141,1.0,3,0,0.5,1,0,0,1
142,1.0,3,0,0.0,1,2,1,3
143,0.0,3,1,0.5,1,0,0,2
144,0.0,2,1,0.5,1,2,0,2
145,0.0,2,1,1.0,1,3,2,2
146,1.0,3,1,0.5,1,0,0,2
147,0.0,3,0,0.0,0,3,4,1
148,0.0,2,1,1.0,2,3,2,2
149,0.0,2,1,0.5,2,2,0,4
150,0.0,2,1,0.5,3,2,0,4
151,1.0,1,0,0.0,1,4,1,3
152,0.0,3,1,0.5,3,1,0,2
153,0.0,3,1,0.5,2,2,2,2
154,0.0,3,1,0.5,1,0,0,2
155,0.0,1,1,0.5,3,4,1,2
156,1.0,3,0,0.5,1,0,0,1
157,0.0,3,1,0.5,2,1,0,2
158,0.0,3,1,0.5,1,1,0,2
159,0.0,3,1,0.0,1,4,10,0
160,0.0,3,1,0.5,2,2,1,2
161,1.0,2,0,0.5,2,2,0,3
162,0.0,3,1,0.5,1,0,0,2
163,0.0,3,1,0.0,1,1,0,2
164,0.0,3,1,0.0,0,3,5,0
165,1.0,3,1,1.0,0,2,2,0
166,1.0,1,0,1.0,1,4,1,3
167,0.0,3,0,0.0,3,3,5,3
168,0.0,1,1,0.5,1,3,0,2
169,0.0,3,1,1.0,1,4,0,2
170,0.0,1,1,0.5,4,3,0,2
171,0.0,3,1,0.0,0,3,5,0
172,1.0,3,0,1.0,0,2,2,1
173,0.0,3,1,0.5,1,1,0,2
174,0.0,1,1,0.5,3,3,0,2
175,0.0,3,1,0.5,1,0,2,2
176,0.0,3,1,0.0,1,3,4,0
177,0.0,1,0,0.5,3,3,0,1
178,0.0,2,1,0.5,2,2,0,2
179,0.0,3,1,1.0,2,0,0,2
180,0.0,3,0,0.0,1,4,10,1
181,0.0,2,1,0.5,1,2,0,2
182,0.0,3,1,1.0,0,3,6,0
183,1.0,2,1,1.0,0,3,3,0
184,1.0,3,0,0.5,0,3,2,1
185,0.0,1,1,0.5,1,4,0,2
186,1.0,3,0,0.0,1,2,1,3
187,1.0,1,1,0.5,3,3,0,2
188,0.0,3,1,0.0,2,2,2,2
189,0.0,3,1,0.5,2,1,0,2
190,1.0,2,0,0.5,2,2,0,3
191,0.0,2,1,0.5,1,2,0,2
192,1.0,3,0,0.5,1,0,1,1
193,1.0,2,1,1.0,0,3,2,0
194,1.0,1,0,0.5,2,3,0,3
195,1.0,1,0,1.0,3,4,0,1
196,0.0,3,1,0.5,1,0,0,2
197,0.0,3,1,0.5,2,1,1,2
198,1.0,3,0,0.5,1,0,0,1
199,0.0,2,0,0.5,1,2,0,1
200,0.0,3,1,0.5,1,1,0,2
201,0.0,3,1,0.0,1,4,10,2
202,0.0,3,1,0.5,2,0,0,2
203,0.0,3,1,0.5,3,0,0,2
204,1.0,3,1,0.5,1,1,0,2
205,0.0,3,0,0.0,0,1,1,1
206,0.0,3,1,1.0,2,2,1,2
207,1.0,3,1,0.0,1,2,0,2
208,1.0,3,0,0.5,1,0,0,1
209,1.0,1,1,0.5,2,3,0,2
210,0.0,3,1,0.0,1,0,0,2
211,1.0,2,0,0.5,2,2,0,1
212,0.0,3,1,0.5,1,0,0,2
213,0.0,2,1,0.5,2,2,0,2
214,0.0,3,1,0.5,1,0,1,2
215,1.0,1,0,1.0,2,4,1,1
216,1.0,3,0,0.5,1,1,0,1
217,0.0,2,1,1.0,2,3,1,2
218,1.0,1,0,0.5,2,4,0,1
219,0.0,2,1,1.0,2,1,0,2
220,1.0,3,1,0.5,1,1,0,2
221,0.0,2,1,0.5,1,2,0,2
222,0.0,3,1,0.5,3,1,0,2
223,0.0,3,1,0.5,1,1,0,2
224,1.0,1,1,1.0,2,4,1,2
225,0.0,3,1,0.5,1,1,0,2
226,1.0,2,1,0.5,1,1,0,2
227,0.0,3,1,0.5,1,0,0,2
228,0.0,2,1,0.5,1,2,0,2
229,0.0,3,0,0.0,1,3,4,1
230,1.0,1,0,0.0,2,4,1,3
231,0.0,3,1,0.5,1,0,0,2
232,0.0,2,1,0.5,3,2,0,2
233,1.0,3,0,1.0,0,3,6,1
234,0.0,2,1,0.5,1,1,0,2
235,0.0,3,0,0.5,1,0,0,1
236,0.0,2,1,0.5,2,3,1,2
237,1.0,2,0,1.0,0,3,2,1
238,0.0,2,1,0.5,1,1,0,2
239,0.0,2,1,0.5,2,2,0,2
240,0.0,3,0,0.0,1,2,1,1
241,1.0,3,0,1.0,1,2,1,1
242,0.0,2,1,0.5,1,1,0,2
243,0.0,3,1,0.5,1,0,0,2
244,0.0,3,1,0.5,2,0,0,2
245,0.0,1,1,1.0,2,4,2,4
246,0.0,3,0,0.5,1,0,0,1
247,1.0,2,0,1.0,1,2,2,3
248,1.0,1,1,1.0,2,4,2,2
249,0.0,2,1,0.0,3,3,1,4
250,0.0,3,1,0.5,1,0,0,2
251,0.0,3,0,0.0,1,1,2,3
252,0.0,1,1,0.5,4,3,0,2
253,0.0,3,1,0.0,2,2,1,2
254,0.0,3,0,0.0,2,2,2,3
255,1.0,3,0,0.5,1,2,2,3
256,1.0,1,0,0.5,1,4,0,3
257,1.0,1,0,1.0,2,4,0,1
258,1.0,1,0,1.0,2,4,0,1
259,1.0,2,0,1.0,3,3,1,3
260,0.0,3,1,0.5,1,0,0,2
261,1.0,3,1,1.0,0,3,6,0
262,0.0,1,1,1.0,3,4,2,2
263,0.0,1,1,0.5,2,0,0,2
264,0.0,3,0,0.5,1,0,0,1
265,0.0,2,1,0.5,2,1,0,2
266,0.0,3,1,0.0,1,3,5,2
267,1.0,3,1,0.5,1,0,1,2
268,1.0,1,0,1.0,3,4,1,3
269,1.0,1,0,1.0,2,4,0,1
270,0.0,1,1,1.0,1,3,0,2
271,1.0,3,1,0.0,1,0,0,2
272,1.0,2,0,1.0,2,2,1,3
273,0.0,1,1,0.5,2,3,1,2
274,1.0,3,0,0.5,1,0,0,1
275,1.0,1,0,1.0,4,4,1,1
276,0.0,3,0,0.5,3,0,0,1
277,0.0,2,1,0.0,1,0,0,2
278,0.0,3,1,0.0,0,3,5,0
279,1.0,3,0,0.0,2,2,2,3
280,0.0,3,1,0.5,4,0,0,2
281,0.0,3,1,0.0,1,0,0,2
282,0.0,3,1,0.5,1,1,0,2
283,1.0,3,1,0.5,1,1,0,2
284,0.0,1,1,0.5,1,3,0,2
285,0.0,3,1,0.5,2,1,0,2
286,1.0,3,1,0.5,2,1,0,2
287,0.0,3,1,0.5,1,1,0,2
288,1.0,2,1,0.5,2,2,0,2
289,1.0,3,0,0.5,1,0,0,1
290,1.0,1,0,0.0,1,4,0,1
291,1.0,1,0,1.0,1,4,1,3
292,0.0,2,1,0.5,2,2,0,2
293,0.0,3,0,0.5,1,1,0,1
294,0.0,3,1,0.5,1,1,0,2
295,0.0,1,1,0.5,1,3,0,2
296,0.0,3,1,0.5,1,0,0,2
297,0.0,1,0,1.0,0,4,3,1
298,1.0,1,1,0.5,1,3,0,2
299,1.0,1,0,0.0,3,4,1,3
300,1.0,3,0,1.0,1,0,0,1
301,1.0,3,1,1.0,1,3,2,2
302,0.0,3,1,1.0,1,0,0,2
303,1.0,2,0,0.5,1,2,0,1
304,0.0,3,1,0.5,1,1,0,2
305,1.0,1,1,1.0,0,4,3,0
306,1.0,1,0,1.0,1,4,0,1
307,1.0,1,0,0.0,1,4,1,3
308,0.0,2,1,1.0,2,3,1,2
309,1.0,1,0,1.0,2,4,0,1
310,1.0,1,0,1.0,1,4,0,1
311,1.0,1,0,1.0,1,4,4,1
312,0.0,2,0,0.5,1,3,2,3
313,0.0,3,1,0.5,1,1,0,2
314,0.0,2,1,1.0,2,3,2,2
315,1.0,3,0,0.5,1,0,0,1
316,1.0,2,0,0.0,1,3,1,3
317,0.0,2,1,0.5,3,2,0,4
318,1.0,1,0,1.0,2,4,2,1
319,1.0,1,0,1.0,2,4,2,3
320,0.0,3,1,0.5,1,0,0,2
321,0.0,3,1,0.5,1,1,0,2
322,1.0,2,0,0.5,2,2,0,1
323,1.0,2,0,1.0,1,3,2,3
324,0.0,3,1,0.0,1,4,10,2
325,1.0,1,0,1.0,2,4,0,1
326,0.0,3,1,0.5,4,0,0,2
327,1.0,2,0,0.5,2,2,0,3
328,1.0,3,0,1.0,2,2,2,3
329,1.0,1,0,1.0,1,4,1,1
330,1.0,3,0,1.0,1,3,2,1
331,0.0,1,1,0.5,3,3,0,2
332,0.0,1,1,1.0,2,4,1,2
333,0.0,3,1,0.0,1,2,2,2
334,1.0,1,0,1.0,1,4,1,3
335,0.0,3,1,0.5,1,1,0,2
336,0.0,1,1,1.0,1,4,1,2
337,1.0,1,0,1.0,2,4,0,1
338,1.0,3,1,0.5,3,1,0,2
339,0.0,1,1,0.5,3,3,0,2
340,1.0,2,1,1.0,0,3,2,0
341,1.0,1,0,1.0,1,4,5,1
342,0.0,2,1,0.5,1,2,0,2
343,0.0,2,1,0.5,1,2,0,2
344,0.0,2,1,0.5,2,2,0,2
345,1.0,2,0,0.5,1,2,0,1
346,1.0,2,0,0.5,2,2,0,1
347,1.0,3,0,0.5,1,2,1,3
348,1.0,3,1,1.0,0,2,2,0
349,0.0,3,1,0.5,2,1,0,2
350,0.0,3,1,0.5,1,1,0,2
351,0.0,1,1,0.5,1,3,0,2
352,0.0,3,1,0.0,1,0,2,2
353,0.0,3,1,0.0,1,2,1,2
354,0.0,3,1,0.5,1,0,0,2
355,0.0,3,1,0.5,1,1,0,2
356,1.0,1,0,1.0,1,4,1,1
357,0.0,2,0,0.5,2,2,0,1
358,1.0,3,0,0.5,1,1,0,1
359,1.0,3,0,0.5,1,1,0,1
360,0.0,3,1,0.0,2,3,5,2
361,0.0,2,1,0.5,1,3,1,2
362,0.0,3,0,0.0,3,2,1,3
363,0.0,3,1,0.5,2,0,0,2
364,0.0,3,1,1.0,1,2,1,2
365,0.0,3,1,0.5,2,0,0,2
366,1.0,1,0,0.5,4,4,1,3
367,1.0,3,0,0.5,1,0,0,3
368,1.0,3,0,0.5,1,0,0,1
369,1.0,1,0,1.0,1,4,0,3
370,1.0,1,1,0.5,1,4,1,2
371,0.0,3,1,0.5,1,0,1,2
372,0.0,3,1,0.5,1,1,0,2
373,0.0,1,1,1.0,1,4,0,2
374,0.0,3,0,0.0,0,2,4,1
375,1.0,1,0,0.0,1,4,1,3
376,1.0,3,0,0.5,1,0,0,1
377,0.0,1,1,0.5,1,4,2,2
378,0.0,3,1,0.5,1,0,0,2
379,0.0,3,1,0.5,1,0,0,2
380,1.0,1,0,1.0,2,4,0,1
381,1.0,3,0,1.0,0,2,2,1
382,0.0,3,1,0.5,2,1,0,2
383,1.0,1,0,0.0,2,4,1,3
384,0.0,3,1,0.5,1,1,0,2
385,0.0,2,1,0.0,1,4,0,2
386,0.0,3,1,0.0,0,4,7,0
387,1.0,2,0,0.5,2,2,0,1
388,0.0,3,1,0.5,1,0,0,2
389,1.0,2,0,0.5,1,2,0,1
390,1.0,1,1,1.0,2,4,3,2
391,1.0,3,1,0.5,1,0,0,2
392,0.0,3,1,0.0,1,1,2,2
393,1.0,1,0,1.0,1,4,1,1
394,1.0,3,0,1.0,1,2,2,3
395,0.0,3,1,0.5,1,0,0,2
396,0.0,3,0,0.0,2,0,0,1
397,0.0,2,1,0.0,3,3,0,2
398,0.0,2,1,0.5,1,1,0,4
399,1.0,2,0,0.5,1,2,0,3
400,1.0,3,1,0.5,2,1,0,2
401,0.0,3,1,0.5,1,1,0,2
402,0.0,3,0,0.0,1,1,1,1
403,0.0,3,1,1.0,1,2,1,2
404,0.0,3,0,0.0,1,1,0,1
405,0.0,2,1,0.5,2,2,1,2
406,0.0,3,1,0.5,3,0,0,2
407,1.0,2,1,1.0,0,2,2,0
408,0.0,3,1,0.5,1,0,0,2
409,0.0,3,0,0.0,1,3,4,1
410,0.0,3,1,0.5,1,1,0,2
411,0.0,3,1,0.5,1,0,0,2
412,1.0,1,0,0.0,2,4,1,1
413,0.0,2,1,0.0,1,0,0,2
414,1.0,3,1,0.5,2,1,0,2
415,0.0,3,0,0.5,1,1,0,3
416,1.0,2,0,0.5,2,3,2,3
417,1.0,2,0,0.5,1,2,2,1
418,0.0,2,1,0.5,2,2,0,2
419,0.0,3,0,0.0,0,3,2,1
420,0.0,3,1,0.5,1,1,0,2
421,0.0,3,1,0.5,1,0,0,2
422,0.0,3,1,0.5,1,1,0,2
423,0.0,3,0,0.0,1,2,2,3
424,0.0,3,1,0.0,1,2,2,2
425,0.0,3,1,0.5,1,0,0,2
426,1.0,2,0,0.5,1,3,1,3
427,1.0,2,0,0.0,1,3,0,1
428,0.0,3,1,0.5,1,0,0,2
429,1.0,3,1,0.5,2,1,0,2
430,1.0,1,1,0.5,1,3,0,2
431,1.0,3,0,0.0,1,2,1,3
432,1.0,2,0,0.5,2,3,1,3
433,0.0,3,1,0.5,1,0,0,2
434,0.0,1,1,1.0,3,4,1,2
435,1.0,1,0,1.0,0,4,3,1
436,0.0,3,0,0.0,1,3,4,1
437,1.0,2,0,1.0,1,2,5,3
438,0.0,1,1,1.0,4,4,5,2
439,0.0,2,1,0.5,2,1,0,2
440,1.0,2,0,1.0,3,3,2,3
441,0.0,3,1,0.5,1,1,0,2
442,0.0,3,1,0.5,1,0,1,2
443,1.0,2,0,0.5,1,2,0,1
444,1.0,3,1,0.5,1,1,0,2
445,1.0,1,1,0.5,0,4,2,0
446,1.0,2,0,1.0,0,2,1,1
447,1.0,1,1,0.5,2,3,0,2
448,1.0,3,0,1.0,0,2,3,1
449,1.0,1,1,0.5,3,3,0,4
450,0.0,2,1,1.0,2,3,3,2
451,0.0,3,1,0.0,1,2,1,2
452,0.0,1,1,0.5,2,3,0,2
453,1.0,1,1,1.0,3,4,1,2
454,0.0,3,1,0.5,1,1,0,2
455,1.0,3,1,0.5,1,1,0,2
456,0.0,1,1,0.5,4,3,0,2
457,1.0,1,0,0.5,1,4,1,3
458,1.0,2,0,0.5,3,1,0,1
459,0.0,3,1,0.5,1,0,0,2
460,1.0,1,1,0.5,3,3,0,2
461,0.0,3,1,0.5,2,1,0,2
462,0.0,1,1,0.5,3,3,0,2
463,0.0,2,1,0.5,3,2,0,2
464,0.0,3,1,0.5,1,1,0,2
465,0.0,3,1,0.5,2,0,0,2
466,0.0,2,1,0.0,1,0,0,2
467,0.0,1,1,0.5,3,3,0,2
468,0.0,3,1,0.5,1,0,0,2
469,1.0,3,0,1.0,0,2,3,1
470,0.0,3,1,0.5,1,0,0,2
471,0.0,3,1,0.0,2,1,0,2
472,1.0,2,0,1.0,2,3,3,3
473,1.0,2,0,0.5,1,2,0,3
474,0.0,3,0,0.5,1,1,0,1
475,0.0,1,1,0.0,1,4,0,2
476,0.0,2,1,1.0,2,2,1,2
477,0.0,3,1,0.5,1,0,1,2
478,0.0,3,1,0.5,1,0,0,2
479,1.0,3,0,0.5,0,2,1,1
480,0.0,3,1,0.0,0,4,7,0
481,0.0,2,1,0.5,1,0,0,2
482,0.0,3,1,0.5,3,1,0,2
483,1.0,3,0,0.5,4,1,0,3
484,1.0,1,1,1.0,1,4,1,2
485,0.0,3,0,0.0,1,3,4,1
486,1.0,1,0,1.0,2,4,1,3
487,0.0,1,1,0.5,3,3,0,2
488,0.0,3,1,0.5,2,1,0,2
489,1.0,3,1,1.0,0,2,2,0
490,0.0,3,1,0.0,1,2,1,2
491,0.0,3,1,0.5,1,0,0,2
492,0.0,1,1,0.5,3,3,0,2
493,0.0,1,1,0.5,4,4,0,2
494,0.0,3,1,0.5,1,1,0,2
495,0.0,3,1,0.0,1,2,0,2
496,1.0,1,0,1.0,3,4,1,1
497,0.0,3,1,0.5,1,2,0,2
498,0.0,1,0,1.0,1,4,3,3
499,0.0,3,1,0.5,1,0,0,2
500,0.0,3,1,0.0,1,1,0,2
501,0.0,3,0,0.5,1,0,0,1
502,0.0,3,0,0.5,1,0,0,1
503,0.0,3,0,0.5,2,1,0,1
504,1.0,1,0,1.0,1,4,0,1
505,0.0,1,1,1.0,1,4,1,2
506,1.0,2,0,1.0,2,3,2,3
507,1.0,1,1,0.5,1,3,0,2
508,0.0,3,1,0.5,1,3,0,2
509,1.0,3,1,1.0,1,4,0,2
510,1.0,3,1,0.5,1,0,0,2
511,0.0,3,1,0.5,1,1,0,2
512,1.0,1,1,0.5,2,3,0,2
513,1.0,1,0,0.5,3,4,1,3
514,0.0,3,1,0.0,1,0,0,2
515,0.0,1,1,0.5,3,3,0,2
516,1.0,2,0,0.5,2,1,0,3
517,0.0,3,1,1.0,1,3,0,2
518,1.0,2,0,0.5,2,3,1,3
519,0.0,3,1,0.5,2,1,0,2
520,1.0,1,0,1.0,2,4,0,1
521,0.0,3,1,0.5,1,1,0,2
522,0.0,3,1,0.5,1,0,0,2
523,1.0,1,0,1.0,2,4,1,3
524,0.0,3,1,0.5,1,0,0,2
525,0.0,3,1,0.5,2,0,0,2
526,1.0,2,0,0.5,3,1,0,1
527,0.0,1,1,0.5,1,4,0,2
528,0.0,3,1,0.5,2,1,0,2
529,0.0,2,1,0.5,1,2,3,2
530,1.0,2,0,1.0,0,3,2,1
531,0.0,3,1,0.5,1,0,0,2
532,0.0,3,1,0.0,1,0,2,2
533,1.0,3,0,1.0,1,3,2,3
534,0.0,3,0,0.0,2,1,0,1
535,1.0,2,0,1.0,0,3,2,1
536,0.0,1,1,0.5,3,3,0,4
537,1.0,1,0,0.0,2,4,0,1
538,0.0,3,1,0.5,1,2,0,2
539,1.0,1,0,0.5,1,4,2,1
540,1.0,1,0,0.0,2,4,2,1
541,0.0,3,0,0.0,0,3,6,1
542,0.0,3,0,0.0,0,3,6,1
543,1.0,2,1,1.0,2,3,1,2
544,0.0,1,1,1.0,3,4,1,2
545,0.0,1,1,0.5,4,3,0,2
546,1.0,2,0,1.0,1,3,1,3
547,1.0,2,1,0.5,1,2,0,2
548,0.0,3,1,1.0,2,2,2,2
549,1.0,2,1,0.0,0,3,2,0
550,1.0,1,1,1.0,1,4,2,2
551,0.0,2,1,0.5,1,3,0,2
552,0.0,3,1,0.5,1,0,0,2
553,1.0,3,1,0.5,1,0,0,2
554,1.0,3,0,0.5,1,0,0,1
555,0.0,1,1,0.5,4,3,0,2
556,1.0,1,0,0.5,3,3,1,4
557,0.0,1,1,1.0,1,4,0,2
558,1.0,1,0,1.0,2,4,2,3
559,1.0,3,0,0.5,2,2,1,3
560,0.0,3,1,0.5,1,0,0,2
561,0.0,3,1,0.5,2,1,0,2
562,0.0,2,1,0.5,1,2,0,2
563,0.0,3,1,0.5,1,1,0,2
564,0.0,3,0,0.5,1,1,0,1
565,0.0,3,1,0.0,1,3,2,2
566,0.0,3,1,0.5,1,1,0,2
567,0.0,3,0,0.0,1,2,4,3
568,0.0,3,1,0.5,1,0,0,2
569,1.0,3,1,0.5,2,0,0,2
570,1.0,2,1,0.0,4,1,0,2
571,1.0,1,0,0.5,3,4,2,3
572,1.0,1,1,0.5,2,3,0,2
573,1.0,3,0,1.0,1,0,0,1
574,0.0,3,1,0.5,1,1,0,2
575,0.0,3,1,0.0,1,2,0,2
576,1.0,2,0,0.5,2,2,0,1
577,1.0,1,0,0.0,2,4,1,3
578,0.0,3,0,0.5,1,2,1,3
579,1.0,3,1,0.5,2,1,0,2
580,1.0,2,0,0.5,1,3,2,1
581,1.0,1,0,1.0,2,4,2,3
582,0.0,2,1,0.0,3,3,0,2
583,0.0,1,1,0.5,2,3,0,2
584,0.0,3,1,0.5,1,1,0,2
585,1.0,1,0,1.0,1,4,2,1
586,0.0,2,1,0.5,3,2,0,2
587,1.0,1,1,0.5,4,4,2,2
588,0.0,3,1,0.5,1,1,0,2
589,0.0,3,1,0.5,1,1,0,2
590,0.0,3,1,0.5,2,0,0,2
591,1.0,1,0,1.0,3,4,1,3
592,0.0,3,1,0.5,3,0,0,2
593,0.0,3,0,0.5,1,0,2,1
594,0.0,2,1,0.5,2,3,1,2
595,0.0,3,1,0.0,2,3,2,2
596,1.0,2,0,1.0,1,3,0,1
597,0.0,3,1,1.0,3,0,0,2
598,0.0,3,1,0.5,1,0,0,2
599,1.0,1,1,1.0,3,4,1,4
600,1.0,2,0,0.0,1,3,3,3
601,0.0,3,1,0.5,1,1,0,2
602,0.0,1,1,0.5,1,4,0,2
603,0.0,3,1,0.5,2,1,0,2
604,1.0,1,1,0.5,2,3,0,2
605,0.0,3,1,0.5,2,2,1,2
606,0.0,3,1,0.5,2,1,0,2
607,1.0,1,1,0.5,1,3,0,2
608,1.0,2,0,1.0,1,3,3,3
609,1.0,1,0,1.0,2,4,0,1
610,0.0,3,0,0.0,2,3,6,3
611,0.0,3,1,0.5,1,0,0,2
612,1.0,3,0,1.0,1,2,1,1
613,0.0,3,1,0.5,1,0,0,2
614,0.0,3,1,0.5,2,1,0,2
615,1.0,2,0,1.0,1,4,3,1
616,0.0,3,1,0.0,2,2,2,2
617,0.0,3,0,0.0,1,2,1,3
618,1.0,2,0,1.0,0,3,3,1
619,0.0,2,1,0.5,1,1,0,2
620,0.0,3,1,1.0,1,2,1,2
621,1.0,1,1,0.5,2,4,1,2
622,1.0,3,1,1.0,1,2,2,2
623,0.0,3,1,0.0,1,0,0,2
624,0.0,3,1,0.0,1,2,0,2
625,0.0,1,1,0.5,4,3,0,2
626,0.0,2,1,0.5,3,2,0,4
627,1.0,1,0,1.0,1,4,0,1
628,0.0,3,1,0.5,1,1,0,2
629,0.0,3,1,0.5,1,0,0,2
630,1.0,1,1,0.5,5,3,0,2
631,0.0,3,1,0.5,3,0,0,2
